category ,sub cat ,prod code,name ,product page url ,desc ,key features ,package content,size ,area ,height ,material ,weight ,color ,vase included ,customer price ,discount price ,wholeseller price ,wholeseller discount price ,availability ,featured ,promotional page ,promotional date ,productId ,offer valid ,title ,meta des ,alt_tag
GIFT ARTICLES,,b12121,bracelates,,looking good,awsome,good,0,0,,,0,Other,Yes,1000,500,2000,1000,0,No,No,0000-00-00,827,,Buy Bracelates Online in India | GIFT ARTICLES | Fourwalls,Buy Bracelates at lowest price from Fourwalls. Choose from wide range of GIFT ARTICLES online in India. Wholesale Discounts. Free Shipping.,Buy Bracelates Online
Artificial Potted Plants,,done,flower,,Elegant and affordable product for your reception or office desk. Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material: Vase- Melamine ; Flowers-Synthetic,1-Piece Artificial plant with pot,0,0,25,Material: Vase- Melamine ; Flowers-Synthetic,0,Orange,Yes,1250,499,250,0,5,No,Yes,1-1-2016,826,LAUNCH15,Buy Flower Online in India | Artificial Potted Plants | Fourwalls,Buy Flower at lowest price from Fourwalls. Choose from wide range of Artificial Potted Plants online in India. Wholesale Discounts. Free Shipping.,Buy Flower Online
Artificial Plants and Trees,,dfg,xyzz,,dsfg,dsg,dsfg,0,0,,,0,Other,Yes,100,0,50,0,0,No,No,0000-00-00,817,,Buy Xyzz Online in India | Artificial Plants and Trees | Fourwalls,Buy Xyzz at lowest price from Fourwalls. Choose from wide range of Artificial Plants and Trees online in India. Wholesale Discounts. Free Shipping.,Buy Xyzz Online
Artificial Flowers,,dsf,abc,,ds,dsg,sdg,0,0,,,0,Other,Yes,100,0,50,0,0,No,No,0000-00-00,816,,Buy Abc Online in India | Artificial Flowers | Fourwalls,Buy Abc at lowest price from Fourwalls. Choose from wide range of Artificial Flowers online in India. Wholesale Discounts. Free Shipping.,Buy Abc Online
Artificial Bonsai Plants,,code101,Bonsai,,looking good,looks good,testing,0,0,,,0,Other,Yes,10000,800,8000,4000,10,No,Yes,0000-00-00,814,,Buy Bonsai Online in India | Artificial Bonsai Plants | Fourwalls,Buy Bonsai at lowest price from Fourwalls. Choose from wide range of Artificial Bonsai Plants online in India. Wholesale Discounts. Free Shipping.,Buy Bonsai Online
Artificial Potted Plants,,did,flower,,Elegant and affordable product for your reception or office desk. Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material: Vase- Melamine ; Flowers-Synthetic,1-Piece Artificial plant with pot,0,0,25,Material: Vase- Melamine ; Flowers-Synthetic,0,Orange,Yes,1250,499,250,0,5,No,Yes,1-1-2016,813,LAUNCH15,Buy Flower Online in India | Artificial Potted Plants | Fourwalls,Buy Flower at lowest price from Fourwalls. Choose from wide range of Artificial Potted Plants online in India. Wholesale Discounts. Free Shipping.,Buy Flower Online
Artificial Potted Plants,,abcd2,"Miniature Artificial Drooping Tree in a Melamine Vase (Green/Orange, 25 cm tall, 17 cm wide",miniature-artificial-drooping-tree-in-a-melamine-vase-green-orange-25-cm-tall-17-cm-wide,Elegant and affordable product for your reception or office desk. Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material: Vase- Melamine ; Flowers-Synthetic,1-Piece Artificial plant with pot,0,0,25,Material: Vase- Melamine ; Flowers-Synthetic,0,Orange,Yes,1250,499,250,0,5,No,Yes,1-1-2016,811,LAUNCH15,"Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/Orange, 25 Cm Tall, 17 Cm Wide) Online in India | Artificial Potted Plants | Fourwalls","Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/Orange, 25 Cm Tall, 17 Cm Wide) at lowest price from Fourwalls. Choose from wide range of Artif","Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/Orange, 25 Cm Tall, 17 Cm Wide) Onl"
Artificial Flowers,,flow,new flower,new-flower,asdfsafs,df**dfg,qwerty,0,0,,,0,Other,Yes,200,0,150,0,0,No,No,0000-00-00,810,,Buy New Flower Online in India | Artificial Flowers | Fourwalls,Buy New Flower at lowest price from Fourwalls. Choose from wide range of Artificial Flowers online in India. Wholesale Discounts. Free Shipping.,Buy New Flower Online
Artificial Potted Plants,,ABT R222-1250-ORANGE,"Miniature Artificial Drooping Tree in a Melamine Vase (Green/Orange, 25 cm tall, 17 cm wide",miniature-artificial-drooping-tree-in-a-melamine-vase-green-orange-25-cm-tall-17-cm-wide,Elegant and affordable product for your reception or office desk. Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material: Vase- Melamine ; Flowers-Synthetic,1-Piece Artificial plant with pot,0,0,25,Material: Vase- Melamine ; Flowers-Synthetic,0,Orange,Yes,1250,499,250,0,5,No,No,1-1-1970,805,LAUNCH15,"Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/Orange, 25 Cm Tall, 17 Cm Wide) Online in India | Artificial Potted Plants | Fourwalls","Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/Orange, 25 Cm Tall, 17 Cm Wide) at lowest price from Fourwalls. Choose from wide range of Artif","Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/Orange, 25 Cm Tall, 17 Cm Wide) Onl"
Artificial Potted Plants,,ABT R222-1250-WHITE,"Miniature Artificial Drooping Tree in a Melamine Vase (Green/White, 25 cm tall, 17 cm wide",miniature-artificial-drooping-tree-in-a-melamine-vase-green-white-25-cm-tall-17-cm-wide,Elegant and affordable product for your reception or office desk. Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material: Vase- Melamine ; Flowers-Synthetic,1-Piece Artificial plant with pot,0,0,25,Material: Vase- Melamine ; Flowers-Synthetic,0,White,Yes,1250,499,250,0,5,No,No,1-1-1970,804,LAUNCH15,"Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/White, 25 Cm Tall, 17 Cm Wide) Online in India | Artificial Potted Plants | Fourwalls","Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/White, 25 Cm Tall, 17 Cm Wide) at lowest price from Fourwalls. Choose from wide range of Artifi","Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/White, 25 Cm Tall, 17 Cm Wide) Onli"
Artificial Potted Plants,,ABT R222-1250-ORANGE,"Miniature Artificial Drooping Tree in a Melamine Vase (Green/Orange, 25 cm tall, 17 cm wide",miniature-artificial-drooping-tree-in-a-melamine-vase-green-orange-25-cm-tall-17-cm-wide,Elegant and affordable product for your reception or office desk. Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material: Vase- Melamine ; Flowers-Synthetic,1-Piece Artificial plant with pot,0,0,25,Material: Vase- Melamine ; Flowers-Synthetic,0,Orange,Yes,1250,499,250,0,5,No,No,1-1-1970,803,LAUNCH15,"Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/Orange, 25 Cm Tall, 17 Cm Wide) Online in India | Artificial Potted Plants | Fourwalls","Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/Orange, 25 Cm Tall, 17 Cm Wide) at lowest price from Fourwalls. Choose from wide range of Artif","Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/Orange, 25 Cm Tall, 17 Cm Wide) Onl"
Artificial Potted Plants,,ABT R222-1250-WHITE,"Miniature Artificial Drooping Tree in a Melamine Vase (Green/White, 25 cm tall, 17 cm wide",miniature-artificial-drooping-tree-in-a-melamine-vase-green-white-25-cm-tall-17-cm-wide,Elegant and affordable product for your reception or office desk. Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material: Vase- Melamine ; Flowers-Synthetic,1-Piece Artificial plant with pot,0,0,25,Material: Vase- Melamine ; Flowers-Synthetic,0,White,Yes,1250,499,250,0,5,No,No,1-1-1970,802,LAUNCH15,"Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/White, 25 Cm Tall, 17 Cm Wide) Online in India | Artificial Potted Plants | Fourwalls","Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/White, 25 Cm Tall, 17 Cm Wide) at lowest price from Fourwalls. Choose from wide range of Artifi","Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/White, 25 Cm Tall, 17 Cm Wide) Onli"
Artificial Potted Plants,,ABT R222-1250-ORANGE,"Miniature Artificial Drooping Tree in a Melamine Vase (Green/Orange, 25 cm tall, 17 cm wide",miniature-artificial-drooping-tree-in-a-melamine-vase-green-orange-25-cm-tall-17-cm-wide,Elegant and affordable product for your reception or office desk. Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material: Vase- Melamine ; Flowers-Synthetic,1-Piece Artificial plant with pot,0,0,25,Material: Vase- Melamine ; Flowers-Synthetic,0,Orange,Yes,1250,499,250,0,5,No,No,1-1-1970,801,LAUNCH15,"Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/Orange, 25 Cm Tall, 17 Cm Wide) Online in India | Artificial Potted Plants | Fourwalls","Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/Orange, 25 Cm Tall, 17 Cm Wide) at lowest price from Fourwalls. Choose from wide range of Artif","Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/Orange, 25 Cm Tall, 17 Cm Wide) Onl"
Artificial Potted Plants,,ABT R222-1250-WHITE,"Miniature Artificial Drooping Tree in a Melamine Vase (Green/White, 25 cm tall, 17 cm wide",miniature-artificial-drooping-tree-in-a-melamine-vase-green-white-25-cm-tall-17-cm-wide,Elegant and affordable product for your reception or office desk. Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material: Vase- Melamine ; Flowers-Synthetic,1-Piece Artificial plant with pot,0,0,25,Material: Vase- Melamine ; Flowers-Synthetic,0,White,Yes,1250,499,250,0,5,No,No,1-1-1970,800,LAUNCH15,"Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/White, 25 Cm Tall, 17 Cm Wide) Online in India | Artificial Potted Plants | Fourwalls","Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/White, 25 Cm Tall, 17 Cm Wide) at lowest price from Fourwalls. Choose from wide range of Artifi","Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/White, 25 Cm Tall, 17 Cm Wide) Onli"
Artificial Potted Plants,,ABT R222-1250-ORANGE,"Miniature Artificial Drooping Tree in a Melamine Vase (Green/Orange, 25 cm tall, 17 cm wide",miniature-artificial-drooping-tree-in-a-melamine-vase-green-orange-25-cm-tall-17-cm-wide,Elegant and affordable product for your reception or office desk. Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material: Vase- Melamine ; Flowers-Synthetic,1-Piece Artificial plant with pot,0,0,25,Material: Vase- Melamine ; Flowers-Synthetic,0,Orange,Yes,1250,499,250,0,5,No,No,1-1-1970,799,,"Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/Orange, 25 Cm Tall, 17 Cm Wide) Online in India | Artificial Potted Plants | Fourwalls","Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/Orange, 25 Cm Tall, 17 Cm Wide) at lowest price from Fourwalls. Choose from wide range of Artif","Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/Orange, 25 Cm Tall, 17 Cm Wide) Onl"
Artificial Potted Plants,,ABT R222-1250-WHITE,"Miniature Artificial Drooping Tree in a Melamine Vase (Green/White, 25 cm tall, 17 cm wide",miniature-artificial-drooping-tree-in-a-melamine-vase-green-white-25-cm-tall-17-cm-wide,Elegant and affordable product for your reception or office desk. Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material: Vase- Melamine ; Flowers-Synthetic,1-Piece Artificial plant with pot,0,0,25,Material: Vase- Melamine ; Flowers-Synthetic,0,White,Yes,1250,499,250,0,5,No,No,1-1-1970,798,,"Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/White, 25 Cm Tall, 17 Cm Wide) Online in India | Artificial Potted Plants | Fourwalls","Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/White, 25 Cm Tall, 17 Cm Wide) at lowest price from Fourwalls. Choose from wide range of Artifi","Buy Miniature Artificial Drooping Tree In A Melamine Vase (Green/White, 25 Cm Tall, 17 Cm Wide) Onli"
Artificial Plants and Trees,,AP 215 CM FICUS 2434 LVS/17500,215 cm tall decorative artificial Ficus plant without pot,215-cm-tall-decorative-artificial-ficus-plant-without-pot,Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material- Plant: Polyester; Trunk: Polyurethane; non- variegated leaves,Package contents: 1 artificial plant without the pot,0,0,215,Plant: Polyester; Trunk: Polyurethane; non- variegated leaves,0,Green,Yes,25000,14999,7500,0,5,No,No,1-1-1970,797,LAUNCH15,Buy 215 Cm Tall Decorative Artificial Ficus Plant Without Pot Online in India | Artificial Plants and Trees | Fourwalls,Buy 215 Cm Tall Decorative Artificial Ficus Plant Without Pot at lowest price from Fourwalls. Choose from wide range of Artificial Plants and Trees online in In,Buy 215 Cm Tall Decorative Artificial Ficus Plant Without Pot Online
Artificial Plants and Trees,,AP 180 CM BOUGAINVILLEA 1204 LVS/14550,180 cm tall decorative artificialBougainvillea plant without pot,180-cm-tall-decorative-artificialbougainvillea-plant-without-pot,Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material- Plant: Polyester; Trunk: Polyurethane; non- variegated leaves,Package contents: 1 artificial plant without the pot,0,0,180,Plant: Polyester; Trunk: Polyurethane; non- variegated leaves,0,Other,Yes,15000,8999,4550,0,5,No,No,1-1-1970,796,LAUNCH15,Buy 180 Cm Tall Decorative ArtificialBougainvillea Plant Without Pot Online in India | Artificial Plants and Trees | Fourwalls,Buy 180 Cm Tall Decorative ArtificialBougainvillea Plant Without Pot at lowest price from Fourwalls. Choose from wide range of Artificial Plants and Trees onlin,Buy 180 Cm Tall Decorative ArtificialBougainvillea Plant Without Pot Online
